name,stock,deal,free,mrp,rate,company,batch,exp,supplier
1-AL 5MG TABS ***,150,0,0,26.2,18.71,F.D.C. INDIA LIMITED,079K025,01-10-2021,TRINETRA PHARMA    HYDERABAD
1-AL 5MG TABS ***,25,0,0,26.2,18.71,F.D.C. INDIA LIMITED,079L030,01-11-2021,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
1-AL 5MG TABS ***,-25,0,0,26.2,18.72,F.D.C. INDIA LIMITED,079K024,01-10-2021,LAKSHMI BALAJI AGENCIES       HYDERABAD
1-AL 5MG TABS ***,5,0,0,26.2,18.72,F.D.C. INDIA LIMITED,079K025,01-10-2021,LAKSHMI BALAJI AGENCIES       HYDERABAD
1-AL SYRUP ***,32,0,0,34.8,24.86,F.D.C. INDIA LIMITED,489K002,01-10-2021,TRINETRA PHARMA    HYDERABAD
1-AL SYRUP ***,120,0,0,34.8,24.86,F.D.C. INDIA LIMITED,489K002,01-10-2021,TRINETRA PHARMA    HYDERABAD
3 CEF NOVA 1.5 INJ,32,10,11,225.5,161.07,ALKEM (PHARMA),19181975,01-08-2021,
3 CEF NOVA 1.5 INJ,4,10,11,225.5,161.07,ALKEM (PHARMA),19181220,01-05-2021,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
A TO Z GOLD SOFT CAP,11,0,0,155,105.09,ALKEM (PHARMA),NAZG9017IA,01-04-2021,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
A TO Z-NS DROPS,41,0,0,49.5,33.56,ALKEM (PHARMA),AZND20002F,01-12-2020,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
A TO Z-NS DROPS,2,0,0,49.5,33.56,ALKEM (PHARMA),AZND20005F,01-02-2021,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
A TO Z-NS SYRUP,25,0,0,146,98.98,ALKEM (PHARMA),AZS19258GH,01-04-2021,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
A TO Z-NS TABS,150,0,0,105,71.19,ALKEM (PHARMA),19443340,01-05-2021,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
A TO Z-NS TABS,1,0,0,105,71.19,ALKEM (PHARMA),20440777,01-08-2021,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
A TO Z-NS TABS,-1,0,0,105,71.19,ALKEM (PHARMA),20441532,01-11-2021,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
AB-PHYLLINE CAPS**,1,0,0,123,87.86,SUN PHARMACEUTICAL I LTD,ESU2135,01-12-2021,PRUDHVI AGENCIES VIJAYAWADA
AB-PHYLLINE CAPS**,-1,0,0,123,87.86,SUN PHARMACEUTICAL I LTD,ESX0476,01-02-2022,PRUDHVI AGENCIES VIJAYAWADA
ACECLO 100MG TAB,6,0,0,40.1,28.64,ARISTO PHARMA,S340H029,01-07-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ACECLO PLUS TABS,120,9,1,70,50,ARISTO PHARMA,S952M059,01-11-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ACECLO-MR TAB,50,0,0,67.75,48.39,ARISTO PHARMA,S992L029,01-10-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ACECLO-SR TAB,30,0,0,64.55,46.1,ARISTO PHARMA,S709M029,01-11-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ACITROM-1MG TAB**,6,0,0,219,156.44,ABBOT,ACF9003,01-06-2021,RAVINDRA PHARMACEUTICALS VIJAYAWADA
ACITROM-1MG TAB**,17,0,0,219,156.42,ABBOT,ACF9004,01-10-2021,LAKSHMI BALAJI CORPORATION VIJAYAWADA
ACITROM-2MG TAB**,3,0,0,343,245.03,ABBOT,ACE9006A,01-08-2021,TRINETRA PHARMA    HYDERABAD
ACITROM-2MG TAB**,29,0,0,343,245,ABBOT,ACE9007,01-11-2021,LAKSHMI BALAJI CORPORATION VIJAYAWADA
ACITROM-3MG TAB**,10,0,0,398.17,284.41,ABBOT,SSD0071,01-07-2021,RAVINDRA PHARMACEUTICALS VIJAYAWADA
ACITROM-4MG TAB**,4,0,0,351.7,251.25,ABBOT,ACD7001,01-09-2021,TRINETRA PHARMA    HYDERABAD
ACITROM-4MG TAB** 30 S,20,0,0,467.2,333.71,ABBOT,ACD0001,01-12-2022,LAKSHMI BALAJI CORPORATION VIJAYAWADA
ACIVIR CREAM,24,0,0,110,78.57,CIPLA (CRESTA),D9153,30-06-2022,CIPLA LIMITED  HYDERABAD
ACIVIR EYE ONT,21,0,0,57.04,40.74,CIPLA,G9042,30-11-2022,CIPLA LIMITED  HYDERABAD
ACIVIR EYE ONT,1,0,0,57.04,40.74,CIPLA,G9027,01-08-2022,SARADA PHARMACY      MADHIRA
ACIVIR EYE ONT,2,0,0,57.04,40.74,CIPLA,G9042,01-11-2022,SARADA PHARMACY      MADHIRA
ACIVIR-DT 200MG TAB,7,0,0,74.25,53.04,CIPLA (CRESTA),SA94483,30-06-2022,CIPLA LIMITED  HYDERABAD
ACIVIR-DT 200MG TAB,20,0,0,74.25,53.04,CIPLA (CRESTA),SA94484,01-06-2022,CIPLA LIMITED  HYDERABAD
ACIVIR-DT 400MG TAB,45,0,0,67.42,48.16,CIPLA (CRESTA),SN91518,30-06-2022,CIPLA LIMITED  HYDERABAD
